Date,Poids
2017-05-24,71.2
2017-05-25,71.9
2017-05-26,71.7
2017-05-27,72.4
2017-05-28,71.4
2017-05-29,70.5
2017-05-31,71.1
2017-06-01,71.2
2017-06-03,70.6
2017-06-04,70.9
2017-06-05,71.3
2017-06-06,70.8
2017-06-07,70.7
2017-06-08,71
2017-06-09,71.1
2017-06-10,70.4
2017-06-10,70.4
2017-06-11,70.4
2017-06-12,71.7
2017-06-13,71.3
2017-06-14,70
2017-06-15,70.4
2017-06-17,70.2
2017-06-18,70.2
2017-06-19,71.1
2017-06-20,72.1
2017-06-22,71.1
2017-06-26,71.2
2017-06-27,70.6
2017-06-28,71.2
2017-06-30,70.7
2017-07-01,68.8
2017-07-02,70.2
2017-07-04,70.8
2017-07-05,70.8
2017-07-06,70.9
2017-07-08,70.1
2017-07-09,70.9
2017-07-10,70.6
2017-07-11,71
2017-07-12,71
2017-07-13,70.8
2017-07-15,70.6
2017-07-17,70.9
2017-07-18,71.2
2017-07-19,70.5
2017-07-24,72.1
2017-07-25,70.9
2017-07-26,71.7
2017-07-27,70.5
2017-07-28,70.4
2017-07-29,69.9
2017-07-30,70.1
2017-07-31,69.9
2017-08-01,70.3
2017-08-02,70.2
2017-08-03,72
2017-08-04,70.4
2017-08-05,70.5
2017-08-06,70.3
2017-08-07,69.9
2017-08-08,70.4
2017-08-09,70.5
2017-08-10,69.7
2017-08-11,70
2017-08-16,68.9
2017-08-17,69.8
2017-08-18,69.8
2017-08-19,70.2
2017-08-20,70.2
2017-08-22,69
2017-08-23,70.2
2017-08-24,70.3
2017-08-25,71.2
2017-08-26,69.8
2017-08-27,70.7
2017-08-28,70.6
2017-08-29,70
2017-08-30,70.7
2017-08-31,70.3
2017-09-01,70
2017-09-04,72
2017-09-05,70.5
2017-09-06,70.8
2017-09-08,70
2017-09-29,71
2017-10-09,72.8
2017-10-10,72.6
2017-10-11,72.2
2017-10-12,71.8
2017-10-13,73.8
2017-10-14,71.6
2017-10-16,72.2
2017-10-18,71.8
2017-10-19,72.3
2017-10-20,71.6
2017-10-23,72
2017-10-24,71.6
2017-10-26,71.5
2017-10-27,71.6
2017-10-31,71.6
2017-11-01,71.2
2017-11-02,71.9
2017-11-03,71.1
2017-11-04,71
2017-11-05,70.5
2017-11-06,72
2017-11-07,72.4
2017-11-08,71.7
2017-11-09,70.7
2017-11-10,71.7
2017-11-11,70.7
2017-11-12,70.8
2017-11-13,71.3
2017-11-16,70.5
2017-11-17,71.3
2017-11-18,71
2017-11-20,70.7
2017-11-22,71.1
2017-11-23,70.7
2017-11-24,70.9
2017-11-26,70.6
2017-11-27,71.1
2017-11-28,70.3
2017-12-07,71.4
2017-12-09,72
2017-12-12,72.3
2017-12-14,71.3
2017-12-15,71.7
2017-12-16,71.1
2017-12-19,71.5
2017-12-20,71.6
2017-12-22,71.3
2017-12-23,71.6
2017-12-27,72.8
2017-12-28,72.5
2017-12-29,72.4
2017-12-30,72.6
2017-12-31,72.1
2018-01-03,72.1
2018-01-04,72.1
2018-01-05,72.1
2018-01-06,71.2
2018-01-07,72.5
2018-01-08,72
2018-01-09,71.4
2018-01-10,72.6
2018-01-11,71.6
2018-01-12,70.9
2018-01-13,71.3
2018-01-14,71.5
2018-01-15,71.2
2018-01-16,70.6
2018-01-17,71.3
2018-01-18,71.2
2018-01-19,70.4
2018-01-20,70.3
2018-01-21,70.1
2018-01-22,70.2
2018-01-24,70.4
2018-01-25,70.9
2018-01-27,70.7
2018-01-28,70.4
2018-01-29,71.4
2018-01-30,71.4
2018-01-31,70.4
2018-02-02,70
2018-02-07,70.7
2018-02-09,70.1
2018-02-12,70.8
2018-02-13,70.4
2018-02-14,70.6
2018-02-15,69.4
2018-02-16,68.6
2018-02-17,69.2
2018-02-27,72.1
2018-03-01,71.1
2018-03-05,71.2
2018-03-06,70.5
2018-03-07,70.5
2018-03-08,70.5
2018-03-09,70.8
2018-03-12,71.2
2018-03-13,70.9
2018-03-14,70.7
2018-03-15,70.9
2018-03-16,70.5
2018-03-20,71.7
2018-03-22,70
2018-03-23,70.7
2018-03-24,70.6
2018-03-25,70.3
2018-03-26,70.8
2018-03-27,70.8
2018-03-28,70.1
2018-03-29,70.3
2018-03-30,71.3
2018-04-01,72.3
2018-04-03,72.3
2018-04-04,71.3
2018-04-05,71.2
2018-04-06,71.5
2018-04-10,71.6
2018-04-11,71.4
2018-04-12,70.3
2018-04-13,70.5
2018-04-14,70.5
2018-04-16,70.1
2018-04-17,70.6
2018-04-19,71
2018-04-24,70.4
2018-05-01,70.2
2018-05-04,71
2018-05-09,71.5
2018-05-10,71.2
2018-05-11,70.9
